Ref,Item,Qty,USD
U1,ESP32-S3-WROOM-1-N16R8 module,1,4.2
J1,USB-C receptacle 16-pin SMD,1,0.35
D1,USBLC6-2SC6 ESD protection array,1,0.2
U2,TP4056 LiPo charge controller,1,0.35
U3,DW01A + FS8205A battery protection,1,0.3
U4,AMS1117-3.3 LDO regulator,1,0.12
BT1,LiPo cell 1200mAh 503450 + JST-PH 2.0,1,6.5
DS1,2.0in ST7789 240x320 SPI TFT,1,7.5
SW1-SW30,Tactile switch 6x6x5mm through-hole,30,1.2
D2-D41,1N4148W diode SOD-123,40,0.6
R-KIT,Resistor assortment 0603 (E12 values),1,2
C-KIT,Capacitor assortment 0603 + 10uF/100uF bulk,1,2.5
J2,microSD socket push-pull,1,0.55
MEM1,microSD card 8GB,1,4
BZ1,Magnetic buzzer 12mm,1,0.35
SW31-SW32,Tactile SMD button 3x4mm (reset + boot),2,0.16
J3,Pin header 2.54mm 1x40 breakaway,1,0.3
PCB1,"JLCPCB 2-layer PCB, 5pcs, 95x75mm, HASL",5,2
SHIP1,JLCPCB shipping to Canada,1,18
SHIP2,LCSC shipping to Canada,1,14
ENC1,3D printed enclosure (PLA ~60g),1,3
,TOTAL REQUESTED,,68.18
